variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	notes
group_2740	1.73E-01	7.38E-02	2.52E-01	6.09E-01	5.27E-01	-2.00E+00	8.07E-01	-1.80E+00	2.58E+00	2.18E+00	1.90E+00	3.30E+00	-3.11E+00	-4.04E+00	2.50E+00	2.73E+00	-2.63E+00	1.02E+00	
group_2814	1.73E-01	4.74E-01	1.30E-06	4.60E+00	1.06E+00	-2.95E+00	5.12E-02	-5.84E+00	3.85E+00	3.72E+00	2.82E+00	4.40E+00	-4.57E+00	-6.17E+00	4.74E+00	1.60E+00	-2.54E-01	1.51E+00	
group_2951	1.73E-01	9.99E-01	3.35E-01	6.15E-01	6.37E-01	-2.02E+00	8.52E-01	-1.81E+00	3.04E+00	2.01E+00	2.19E+00	3.26E+00	-3.05E+00	-4.37E+00	3.05E+00	3.34E+00	-2.59E+00	9.58E-01	
group_6787	1.73E-01	9.99E-01	3.35E-01	6.15E-01	6.37E-01	-2.02E+00	8.52E-01	-1.81E+00	3.04E+00	2.01E+00	2.19E+00	3.26E+00	-3.05E+00	-4.37E+00	3.05E+00	3.34E+00	-2.59E+00	9.58E-01	
group_780	1.73E-01	3.20E-02	2.88E-03	1.35E+00	4.60E-01	-2.19E+00	3.87E-02	-1.11E+00	2.31E+00	2.46E+00	1.50E+00	3.29E+00	-3.02E+00	-4.10E+00	2.44E+00	2.49E+00	-3.26E+00	1.26E+00	
group_936	1.73E-01	4.76E-01	4.31E-03	-1.81E+00	6.80E-01	-1.81E+00	7.13E-01	-2.13E+00	2.44E+00	2.18E+00	1.39E+00	3.79E+00	-3.13E+00	-5.05E+00	2.37E+00	3.35E+00	-4.18E+00	1.22E+00	
group_1485	1.70E-01	8.78E-03	2.01E-01	9.82E-01	7.85E-01	-2.01E+00	1.22E+00	-2.30E+00	2.86E+00	1.90E+00	1.69E+00	2.94E+00	-2.16E+00	-4.09E+00	2.45E+00	2.81E+00	-2.48E+00	1.00E+00	
group_1618	1.70E-01	1.67E-03	1.90E-01	-1.01E+00	8.00E-01	-1.66E+00	8.73E-01	-1.25E+00	2.63E+00	2.17E+00	1.43E+00	2.90E+00	-2.76E+00	-3.95E+00	2.55E+00	3.29E+00	-1.96E+00	7.22E-01	
group_236	1.70E-01	3.26E-01	2.41E-01	-4.91E-01	4.27E-01	-1.79E+00	5.37E-01	-1.89E+00	2.67E+00	2.35E+00	1.65E+00	3.14E+00	-2.77E+00	-3.97E+00	2.64E+00	2.80E+00	-2.69E+00	9.80E-01	
group_265	1.70E-01	5.34E-01	2.71E-01	-4.66E-01	4.31E-01	-1.78E+00	4.61E-01	-1.75E+00	2.81E+00	2.35E+00	1.74E+00	3.08E+00	-2.74E+00	-3.99E+00	2.64E+00	2.97E+00	-2.58E+00	9.77E-01	
group_273	1.70E-01	1.12E-04	3.60E-03	-2.86E+00	1.22E+00	-1.58E+00	4.13E-01	-6.56E-01	2.63E+00	2.44E+00	1.15E+00	2.64E+00	-4.21E+00	-3.29E+00	2.64E+00	2.31E+00	-2.60E+00	8.63E-01	
qorB	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_3345	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_3530	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_5807	1.70E-01	7.94E-01	1.69E-01	-1.09E+00	8.48E-01	-1.64E+00	-2.40E-01	-1.82E+00	2.78E+00	2.31E+00	1.52E+00	3.01E+00	-2.52E+00	-4.05E+00	2.46E+00	2.49E+00	-2.80E+00	3.82E-01	
group_60	1.70E-01	3.26E-01	7.35E-01	1.95E-01	5.76E-01	-1.92E+00	5.55E-01	-1.86E+00	2.81E+00	2.29E+00	1.81E+00	3.18E+00	-2.98E+00	-4.19E+00	2.72E+00	3.05E+00	-2.57E+00	9.58E-01	
group_6350	1.70E-01	4.13E-01	7.22E-07	4.80E+00	1.09E+00	-2.97E+00	-5.50E-03	-5.91E+00	3.74E+00	3.83E+00	2.72E+00	4.42E+00	-4.55E+00	-6.07E+00	4.67E+00	1.38E+00	-2.02E-01	1.55E+00	
prtR_2	1.70E-01	9.21E-01	8.81E-01	8.21E-02	5.49E-01	-1.88E+00	5.01E-01	-1.92E+00	2.70E+00	2.28E+00	1.77E+00	3.10E+00	-2.86E+00	-4.03E+00	2.62E+00	2.94E+00	-2.59E+00	9.72E-01	
group_6916	1.70E-01	1.80E-01	8.57E-01	1.45E-01	7.99E-01	-1.89E+00	6.26E-01	-1.95E+00	2.78E+00	2.25E+00	1.85E+00	3.17E+00	-2.84E+00	-4.06E+00	2.71E+00	3.02E+00	-2.58E+00	9.70E-01	
group_6917	1.70E-01	1.80E-01	8.57E-01	1.45E-01	7.99E-01	-1.89E+00	6.26E-01	-1.95E+00	2.78E+00	2.25E+00	1.85E+00	3.17E+00	-2.84E+00	-4.06E+00	2.71E+00	3.02E+00	-2.58E+00	9.70E-01	
group_6918	1.70E-01	1.80E-01	8.57E-01	1.45E-01	7.99E-01	-1.89E+00	6.26E-01	-1.95E+00	2.78E+00	2.25E+00	1.85E+00	3.17E+00	-2.84E+00	-4.06E+00	2.71E+00	3.02E+00	-2.58E+00	9.70E-01	
group_6920	1.70E-01	1.80E-01	8.57E-01	1.45E-01	7.99E-01	-1.89E+00	6.26E-01	-1.95E+00	2.78E+00	2.25E+00	1.85E+00	3.17E+00	-2.84E+00	-4.06E+00	2.71E+00	3.02E+00	-2.58E+00	9.70E-01	
group_6921	1.70E-01	1.80E-01	8.57E-01	1.45E-01	7.99E-01	-1.89E+00	6.26E-01	-1.95E+00	2.78E+00	2.25E+00	1.85E+00	3.17E+00	-2.84E+00	-4.06E+00	2.71E+00	3.02E+00	-2.58E+00	9.70E-01	
group_8721	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_8722	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_8723	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_8724	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_8725	1.70E-01	5.34E-01	2.48E-04	-3.80E+00	1.34E+00	-1.18E+00	-9.61E-01	-7.95E-01	4.64E-01	3.87E+00	2.38E+00	2.53E+00	-2.53E+00	-3.03E+00	1.95E+00	3.13E+00	-2.35E+00	9.02E-01	
group_981	1.70E-01	2.14E-04	3.98E-04	1.81E+00	5.21E-01	-2.16E+00	-1.34E-01	-2.93E+00	2.38E+00	2.48E+00	1.88E+00	2.65E+00	-2.16E+00	-3.22E+00	2.81E+00	2.92E+00	-1.83E+00	1.88E+00	
pilA	1.66E-01	6.75E-03	7.40E-02	-1.21E+00	7.22E-01	-1.71E+00	5.19E-01	-1.84E+00	2.22E+00	2.13E+00	1.39E+00	2.97E+00	-2.59E+00	-4.00E+00	2.59E+00	2.76E+00	-2.97E+00	4.70E-01	
group_1403	1.66E-01	3.15E-05	7.86E-07	-3.72E+00	1.24E+00	-1.11E+00	9.35E-01	-3.23E+00	1.83E+00	2.90E+00	1.30E+00	2.00E+00	-1.99E+00	-2.64E+00	1.07E+00	1.81E+00	-1.66E+00	7.83E-01	bad-chisq
group_1423	1.66E-01	1.45E-04	6.19E-04	-3.03E+00	1.19E+00	-1.50E+00	3.55E-01	-2.13E+00	2.04E+00	1.97E+00	1.23E+00	2.60E+00	-3.66E+00	-2.56E+00	2.72E+00	2.54E+00	-2.94E+00	1.14E+00	
group_1493	1.66E-01	8.69E-01	6.72E-01	2.66E-01	6.28E-01	-1.93E+00	6.67E-01	-1.87E+00	2.84E+00	2.18E+00	1.94E+00	3.16E+00	-2.92E+00	-4.15E+00	2.80E+00	3.11E+00	-2.59E+00	9.68E-01	
arsH_1	1.66E-01	5.97E-01	2.97E-04	-3.74E+00	1.33E+00	-1.20E+00	-9.29E-01	-8.13E-01	5.34E-01	3.87E+00	2.39E+00	2.57E+00	-2.53E+00	-3.06E+00	2.01E+00	3.16E+00	-2.39E+00	9.23E-01	
group_2162	1.66E-01	3.55E-01	5.83E-01	2.89E-01	5.27E-01	-1.93E+00	4.86E-01	-1.88E+00	2.81E+00	2.31E+00	1.85E+00	3.19E+00	-2.87E+00	-3.98E+00	2.56E+00	3.01E+00	-2.54E+00	1.12E+00	
group_2952	1.66E-01	8.43E-01	3.10E-01	6.43E-01	6.34E-01	-2.02E+00	8.55E-01	-1.77E+00	3.02E+00	1.99E+00	2.18E+00	3.25E+00	-3.05E+00	-4.36E+00	3.04E+00	3.32E+00	-2.59E+00	9.58E-01	
group_3340	1.66E-01	5.97E-01	2.97E-04	-3.74E+00	1.33E+00	-1.20E+00	-9.29E-01	-8.13E-01	5.34E-01	3.87E+00	2.39E+00	2.57E+00	-2.53E+00	-3.06E+00	2.01E+00	3.16E+00	-2.39E+00	9.23E-01	
acr3	1.66E-01	5.97E-01	2.97E-04	-3.74E+00	1.33E+00	-1.20E+00	-9.29E-01	-8.13E-01	5.34E-01	3.87E+00	2.39E+00	2.57E+00	-2.53E+00	-3.06E+00	2.01E+00	3.16E+00	-2.39E+00	9.23E-01	
arsC_1	1.66E-01	5.97E-01	2.97E-04	-3.74E+00	1.33E+00	-1.20E+00	-9.29E-01	-8.13E-01	5.34E-01	3.87E+00	2.39E+00	2.57E+00	-2.53E+00	-3.06E+00	2.01E+00	3.16E+00	-2.39E+00	9.23E-01	
group_3343	1.66E-01	5.97E-01	2.97E-04	-3.74E+00	1.33E+00	-1.20E+00	-9.29E-01	-8.13E-01	5.34E-01	3.87E+00	2.39E+00	2.57E+00	-2.53E+00	-3.06E+00	2.01E+00	3.16E+00	-2.39E+00	9.23E-01	
group_348	1.66E-01	5.97E-01	8.44E-01	1.40E-01	7.13E-01	-1.88E+00	5.12E-01	-2.02E+00	2.70E+00	2.32E+00	1.77E+00	3.10E+00	-2.80E+00	-4.02E+00	2.69E+00	2.94E+00	-2.52E+00	9.68E-01	
group_799	1.66E-01	6.75E-03	6.24E-01	-3.50E-01	7.20E-01	-1.78E+00	5.44E-01	-1.71E+00	2.49E+00	2.32E+00	1.60E+00	2.90E+00	-2.73E+00	-3.83E+00	2.39E+00	2.89E+00	-2.60E+00	9.27E-01	
group_8726	1.66E-01	5.97E-01	2.97E-04	-3.74E+00	1.33E+00	-1.20E+00	-9.29E-01	-8.13E-01	5.34E-01	3.87E+00	2.39E+00	2.57E+00	-2.53E+00	-3.06E+00	2.01E+00	3.16E+00	-2.39E+00	9.23E-01	
group_8727	1.66E-01	5.97E-01	2.97E-04	-3.74E+00	1.33E+00	-1.20E+00	-9.29E-01	-8.13E-01	5.34E-01	3.87E+00	2.39E+00	2.57E+00	-2.53E+00	-3.06E+00	2.01E+00	3.16E+00	-2.39E+00	9.23E-01	
group_1576	1.62E-01	7.75E-02	2.47E-01	9.37E-01	8.03E-01	-2.06E+00	6.62E-01	-1.76E+00	3.20E+00	1.82E+00	1.57E+00	2.99E+00	-3.10E+00	-4.47E+00	2.79E+00	2.99E+00	-2.66E+00	9.60E-01	
group_2796	1.62E-01	9.46E-01	1.04E-02	-2.66E+00	1.24E+00	-1.54E+00	-1.66E-01	-9.35E-01	1.68E+00	2.78E+00	2.35E+00	3.36E+00	-4.51E+00	-3.32E+00	3.21E+00	3.56E+00	-3.13E+00	1.12E+00	
group_2949	1.62E-01	9.46E-01	6.02E-01	3.32E-01	6.35E-01	-1.94E+00	6.97E-01	-1.84E+00	2.86E+00	2.14E+00	1.97E+00	3.17E+00	-2.94E+00	-4.17E+00	2.83E+00	3.15E+00	-2.59E+00	9.65E-01	
lpdG_1	1.62E-01	9.46E-01	6.02E-01	3.32E-01	6.35E-01	-1.94E+00	6.97E-01	-1.84E+00	2.86E+00	2.14E+00	1.97E+00	3.17E+00	-2.94E+00	-4.17E+00	2.83E+00	3.15E+00	-2.59E+00	9.65E-01	
group_3156	1.62E-01	7.75E-02	2.47E-01	9.37E-01	8.03E-01	-2.06E+00	6.62E-01	-1.76E+00	3.20E+00	1.82E+00	1.57E+00	2.99E+00	-3.10E+00	-4.47E+00	2.79E+00	2.99E+00	-2.66E+00	9.60E-01	
group_6788	1.62E-01	9.46E-01	6.02E-01	3.32E-01	6.35E-01	-1.94E+00	6.97E-01	-1.84E+00	2.86E+00	2.14E+00	1.97E+00	3.17E+00	-2.94E+00	-4.17E+00	2.83E+00	3.15E+00	-2.59E+00	9.65E-01	
merT	1.62E-01	9.46E-01	6.02E-01	3.32E-01	6.35E-01	-1.94E+00	6.97E-01	-1.84E+00	2.86E+00	2.14E+00	1.97E+00	3.17E+00	-2.94E+00	-4.17E+00	2.83E+00	3.15E+00	-2.59E+00	9.65E-01	
group_6790	1.62E-01	9.46E-01	6.02E-01	3.32E-01	6.35E-01	-1.94E+00	6.97E-01	-1.84E+00	2.86E+00	2.14E+00	1.97E+00	3.17E+00	-2.94E+00	-4.17E+00	2.83E+00	3.15E+00	-2.59E+00	9.65E-01	
tsx	1.62E-01	6.72E-09	2.50E-07	3.15E+00	6.87E-01	-2.46E+00	5.84E-01	-5.96E+00	3.83E+00	1.61E+00	1.25E+00	2.50E+00	-3.22E+00	-3.92E+00	2.60E+00	2.64E+00	-2.17E+00	-3.54E-02	
group_8701	1.62E-01	4.23E-01	5.78E-06	-5.86E+00	2.09E+00	-1.10E+00	-1.28E+00	-5.62E-01	2.72E-01	4.61E+00	3.36E+00	3.00E+00	-2.70E+00	-3.31E+00	2.52E+00	4.06E+00	-2.28E+00	8.27E-01	
group_8702	1.62E-01	4.23E-01	5.78E-06	-5.86E+00	2.09E+00	-1.10E+00	-1.28E+00	-5.62E-01	2.72E-01	4.61E+00	3.36E+00	3.00E+00	-2.70E+00	-3.31E+00	2.52E+00	4.06E+00	-2.28E+00	8.27E-01	
group_3141	1.59E-01	8.75E-03	1.15E-01	1.32E+00	8.58E-01	-2.09E+00	6.04E-01	-1.48E+00	3.13E+00	1.50E+00	1.28E+00	2.89E+00	-3.16E+00	-4.43E+00	2.60E+00	2.83E+00	-2.58E+00	9.27E-01	
group_542	1.59E-01	2.43E-02	2.47E-01	6.31E-01	5.36E-01	-1.98E+00	5.10E-01	-2.57E+00	2.67E+00	2.18E+00	1.43E+00	2.96E+00	-2.65E+00	-3.99E+00	2.61E+00	2.94E+00	-2.72E+00	1.02E+00	
group_6061	1.59E-01	2.43E-02	7.93E-01	-1.93E-01	7.36E-01	-1.86E+00	6.07E-01	-1.95E+00	2.80E+00	2.34E+00	1.86E+00	3.24E+00	-2.93E+00	-4.16E+00	2.82E+00	3.27E+00	-2.51E+00	9.26E-01	
group_6062	1.59E-01	2.43E-02	7.93E-01	-1.93E-01	7.36E-01	-1.86E+00	6.07E-01	-1.95E+00	2.80E+00	2.34E+00	1.86E+00	3.24E+00	-2.93E+00	-4.16E+00	2.82E+00	3.27E+00	-2.51E+00	9.26E-01	
group_6785	1.59E-01	9.74E-01	5.71E-01	3.62E-01	6.39E-01	-1.94E+00	7.09E-01	-1.83E+00	2.86E+00	2.12E+00	1.98E+00	3.17E+00	-2.95E+00	-4.19E+00	2.84E+00	3.15E+00	-2.58E+00	9.61E-01	
group_8710	1.59E-01	7.35E-01	4.47E-04	-3.56E+00	1.30E+00	-1.28E+00	-7.92E-01	-1.02E+00	8.85E-01	3.79E+00	2.52E+00	2.73E+00	-2.60E+00	-3.27E+00	2.25E+00	3.38E+00	-2.38E+00	9.16E-01	
group_8718	1.59E-01	7.35E-01	4.47E-04	-3.56E+00	1.30E+00	-1.28E+00	-7.92E-01	-1.02E+00	8.85E-01	3.79E+00	2.52E+00	2.73E+00	-2.60E+00	-3.27E+00	2.25E+00	3.38E+00	-2.38E+00	9.16E-01	
group_8719	1.59E-01	7.35E-01	4.47E-04	-3.56E+00	1.30E+00	-1.28E+00	-7.92E-01	-1.02E+00	8.85E-01	3.79E+00	2.52E+00	2.73E+00	-2.60E+00	-3.27E+00	2.25E+00	3.38E+00	-2.38E+00	9.16E-01	
group_2164	1.55E-01	2.10E-01	2.59E-01	6.37E-01	5.66E-01	-1.99E+00	4.01E-01	-1.81E+00	2.88E+00	2.35E+00	1.91E+00	3.27E+00	-3.04E+00	-3.89E+00	2.46E+00	2.99E+00	-2.52E+00	1.31E+00	
femI_1	1.55E-01	4.55E-02	4.65E-01	4.11E-01	5.55E-01	-1.94E+00	5.19E-01	-2.35E+00	2.70E+00	2.21E+00	1.57E+00	3.00E+00	-2.70E+00	-3.98E+00	2.63E+00	2.95E+00	-2.67E+00	9.98E-01	
group_539	1.55E-01	4.55E-02	1.38E-02	-1.67E+00	7.34E-01	-1.82E+00	-4.79E-01	-1.81E+00	3.28E+00	3.18E+00	2.29E+00	4.23E+00	-3.06E+00	-5.14E+00	3.51E+00	3.60E+00	-2.82E+00	1.08E+00	
group_8711	1.55E-01	8.10E-01	1.99E-03	-2.92E+00	1.17E+00	-1.40E+00	-5.83E-01	-1.09E+00	1.33E+00	3.39E+00	2.43E+00	2.93E+00	-2.66E+00	-3.42E+00	2.41E+00	3.37E+00	-2.38E+00	8.86E-01	
group_8712	1.55E-01	8.10E-01	1.99E-03	-2.92E+00	1.17E+00	-1.40E+00	-5.83E-01	-1.09E+00	1.33E+00	3.39E+00	2.43E+00	2.93E+00	-2.66E+00	-3.42E+00	2.41E+00	3.37E+00	-2.38E+00	8.86E-01	
group_8714	1.55E-01	5.40E-01	9.65E-06	-5.71E+00	2.05E+00	-1.15E+00	-1.23E+00	-6.00E-01	4.21E-01	4.59E+00	3.39E+00	3.06E+00	-2.72E+00	-3.40E+00	2.60E+00	4.04E+00	-2.35E+00	8.65E-01	
group_8715	1.55E-01	5.40E-01	9.65E-06	-5.71E+00	2.05E+00	-1.15E+00	-1.23E+00	-6.00E-01	4.21E-01	4.59E+00	3.39E+00	3.06E+00	-2.72E+00	-3.40E+00	2.60E+00	4.04E+00	-2.35E+00	8.65E-01	
group_8716	1.55E-01	5.40E-01	9.65E-06	-5.71E+00	2.05E+00	-1.15E+00	-1.23E+00	-6.00E-01	4.21E-01	4.59E+00	3.39E+00	3.06E+00	-2.72E+00	-3.40E+00	2.60E+00	4.04E+00	-2.35E+00	8.65E-01	
group_8717	1.55E-01	5.40E-01	9.65E-06	-5.71E+00	2.05E+00	-1.15E+00	-1.23E+00	-6.00E-01	4.21E-01	4.59E+00	3.39E+00	3.06E+00	-2.72E+00	-3.40E+00	2.60E+00	4.04E+00	-2.35E+00	8.65E-01	
group_8720	1.55E-01	5.40E-01	9.65E-06	-5.71E+00	2.05E+00	-1.15E+00	-1.23E+00	-6.00E-01	4.21E-01	4.59E+00	3.39E+00	3.06E+00	-2.72E+00	-3.40E+00	2.60E+00	4.04E+00	-2.35E+00	8.65E-01	
group_8728	1.55E-01	5.40E-01	9.65E-06	-5.71E+00	2.05E+00	-1.15E+00	-1.23E+00	-6.00E-01	4.21E-01	4.59E+00	3.39E+00	3.06E+00	-2.72E+00	-3.40E+00	2.60E+00	4.04E+00	-2.35E+00	8.65E-01	
group_8879	1.55E-01	3.18E-04	7.35E-05	-5.75E+00	2.17E+00	-1.20E+00	1.79E-01	1.54E+00	1.56E+00	2.63E+00	8.88E-02	1.71E+00	-5.36E+00	-1.40E+00	2.57E+00	1.14E+00	-3.34E+00	1.06E+00	
group_1419	1.52E-01	1.25E-02	3.79E-03	1.46E+00	5.13E-01	-2.08E+00	3.91E-01	-2.08E+00	2.76E+00	2.73E+00	1.79E+00	2.88E+00	-3.11E+00	-3.63E+00	2.39E+00	3.38E+00	-2.49E+00	2.69E-01	
group_1453	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_2856	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_2857	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_2858	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_2861	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_2862	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_3155	1.52E-01	8.10E-02	5.36E-01	5.43E-01	8.82E-01	-1.96E+00	6.04E-01	-1.82E+00	2.96E+00	2.01E+00	1.63E+00	3.02E+00	-2.97E+00	-4.24E+00	2.68E+00	2.95E+00	-2.60E+00	9.61E-01	
group_3248	1.52E-01	4.03E-03	8.63E-03	1.51E+00	5.92E-01	-2.13E+00	6.62E-01	-2.48E+00	3.60E+00	2.60E+00	2.38E+00	3.07E+00	-3.28E+00	-3.83E+00	3.09E+00	3.67E+00	-1.92E+00	7.12E-02	
group_3249	1.52E-01	8.10E-02	1.05E-04	2.07E+00	5.59E-01	-2.66E+00	3.94E-01	-4.37E+00	3.93E+00	3.12E+00	2.71E+00	4.34E+00	-4.73E+00	-5.48E+00	2.70E+00	3.89E+00	-3.44E+00	7.49E-01	
group_351	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_380	1.52E-01	1.71E-01	2.58E-01	8.26E-01	7.21E-01	-2.00E+00	7.15E-01	-2.10E+00	3.25E+00	1.93E+00	1.69E+00	3.19E+00	-2.85E+00	-4.15E+00	2.77E+00	2.91E+00	-2.64E+00	9.79E-01	
intQ	1.52E-01	8.13E-01	3.33E-03	-2.37E+00	9.15E-01	-1.52E+00	-4.63E-02	-1.47E+00	1.51E+00	3.13E+00	2.22E+00	2.87E+00	-3.95E+00	-3.40E+00	2.86E+00	3.33E+00	-2.97E+00	1.14E+00	
group_6509	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_6510	1.52E-01	3.38E-02	4.17E-04	2.57E+00	8.01E-01	-2.28E+00	5.03E-02	-3.31E+00	1.65E+00	3.29E+00	7.87E-01	3.12E+00	-3.32E+00	-4.36E+00	2.74E+00	2.20E+00	-1.04E+00	1.20E+00	
group_6864	1.52E-01	1.25E-02	5.18E-02	1.09E+00	5.54E-01	-2.05E+00	1.07E+00	-1.57E+00	2.28E+00	2.03E+00	1.74E+00	3.32E+00	-3.15E+00	-3.95E+00	2.52E+00	2.85E+00	-2.59E+00	1.02E+00	
group_7177	1.52E-01	4.28E-02	4.66E-01	-8.02E-01	1.13E+00	-1.75E+00	4.57E-01	-2.04E+00	2.93E+00	1.97E+00	2.09E+00	2.91E+00	-3.02E+00	-3.60E+00	2.97E+00	2.82E+00	-2.63E+00	9.76E-01	
group_7754	1.52E-01	8.10E-02	5.36E-01	5.43E-01	8.82E-01	-1.96E+00	6.04E-01	-1.82E+00	2.96E+00	2.01E+00	1.63E+00	3.02E+00	-2.97E+00	-4.24E+00	2.68E+00	2.95E+00	-2.60E+00	9.61E-01	
group_7958	1.52E-01	8.89E-01	2.53E-03	-2.44E+00	9.26E-01	-1.47E+00	-5.33E-01	-1.25E+00	1.53E+00	3.48E+00	2.06E+00	2.88E+00	-2.72E+00	-3.57E+00	2.31E+00	3.25E+00	-2.52E+00	9.42E-01	
group_8713	1.52E-01	8.89E-01	5.43E-03	-2.54E+00	1.11E+00	-1.48E+00	-4.42E-01	-1.15E+00	1.63E+00	3.16E+00	2.40E+00	3.08E+00	-2.71E+00	-3.54E+00	2.53E+00	3.39E+00	-2.39E+00	8.68E-01	
group_1387	1.48E-01	7.03E-04	7.67E-03	1.81E+00	7.00E-01	-2.12E+00	2.84E-01	-2.28E+00	2.98E+00	1.96E+00	1.54E+00	2.53E+00	-2.32E+00	-3.51E+00	1.77E+00	1.03E+00	-3.32E+00	1.33E+00	
group_1452	1.48E-01	2.47E-02	7.91E-05	3.13E+00	9.01E-01	-2.38E+00	-2.36E-02	-3.65E+00	1.46E+00	3.56E+00	5.45E-01	3.21E+00	-3.61E+00	-4.55E+00	2.75E+00	2.08E+00	-6.69E-01	1.29E+00	
group_2810	1.48E-01	6.85E-03	1.10E-02	-1.47E+00	6.27E-01	-1.70E+00	5.96E-01	-2.23E+00	2.73E+00	1.99E+00	1.83E+00	3.10E+00	-2.45E+00	-3.57E+00	2.83E+00	3.47E+00	-2.87E+00	1.20E+00	
group_2860	1.48E-01	2.47E-02	7.91E-05	3.13E+00	9.01E-01	-2.38E+00	-2.36E-02	-3.65E+00	1.46E+00	3.56E+00	5.45E-01	3.21E+00	-3.61E+00	-4.55E+00	2.75E+00	2.08E+00	-6.69E-01	1.29E+00	
group_2986	1.48E-01	2.70E-01	2.15E-01	6.10E-01	4.89E-01	-1.96E+00	4.37E-01	-1.47E+00	2.44E+00	2.27E+00	1.73E+00	2.89E+00	-2.79E+00	-3.95E+00	2.56E+00	2.81E+00	-2.85E+00	1.09E+00	
