lineage	wald_test	p-value
MDS8	4.151600909673997	3.301576319691968e-05
MDS6	3.786927439222993	0.00015252161584866641
MDS4	3.439130528538748	0.0005835857794995736
MDS9	3.1894565869004077	0.0014254054687443674
MDS10	3.132347601531335	0.00173414430085006
MDS7	3.0112724771073025	0.002601552870608259
MDS3	2.7567564738844332	0.005837781100966666
MDS5	2.598365225241528	0.009366880732807559
MDS2	1.684719069745305	0.09204278550555345
MDS1	1.1791138475367975	0.23835284528402356
